name_en	name_mm
Sal Mile-Tit (DU)	၁၀ မိုင် - ၁ (DU)
Thone-Sae-Khun (DU)	၃၇ (DU)
Thone-Sae-Chauk (DU)	၃၆ (DU)
Thone-Sae-Ngar (DU)	၃၅ (DU)
Nhit-ThoneNya-Ngar Kwae	၂၀၅ ကွေ့
Thone Lan Sone (KhaYayPin LanKhwel)	(၃) လမ်းဆုံ (ခရေပင်လမ်းခွဲ)
Say Kyaung (Mingalardon)	ဆေးကျောင်း (မင်္ဂလာဒုံ)
Noh Zay	နို့စျေး
Pann Zay	ပန်းစျေး
Kyo Kone Paya Zay Sine	ကြို့ကုန်းဘုရားစျေးဆိုင်
Kyo Kone OakKaHta Eain Shae	ကြို့ကုန်းဥက္ကဌအိမ်ရှေ့
Kyo Kone Yone San	ကြို့ကုန်းရုံးစံ
Kyo Kone Phone Kyee Kyaung Lan	ကြို့ကုန်းဘုန်းကြီးကျောင်းလမ်း
Kyo Kone (BaYintNaung Road)	ကြို့ကုန်း (ဘုရင့်နောင်လမ်း)
Ngar-sae Kwae (North Dagon)	၅၀ ကွေ့ (မ/ဒဂုံ)
Ngar-sae Kwae Lan Sone (North Dagon)	၅၀ ကွေ့လမ်းဆုံ (မ/ဒဂုံ)
Ma Wa Ta (PinLone Lan)	မ.ဝ.တ (ပင်လုံလမ်း)
Thone-Sae-Ngar (North Dagon)	၃၅ (မ/ဒဂုံ)
Lan Sone (U Chit Maung)	လမ်းဆုံ (ဦးချစ်မောင်)
Tamwe Ah Wine (U Chit Maung)	တာမွေအဝိုင်း (ဦးချစ်မောင်)
Tamwe Ah Wine (Shwe Gong Dine)	တာမွေအဝိုင်း (ရွှေဂုံတိုင်)
Pha Sa Pa La (Yout Road)	ဖဆပလ (ယောက်လမ်း)
Ah Shae Shwe Gong Daing	အရှေ့ရွှေဂုံတိုင်
Ngar Htat Kyee Paya	ငါးထပ်ကြီးဘုရား
Banyar	ဗညား
Law Pi Ta	လောပိတ
Thone-sae-Ngar (Bo Min Yaung)	၃၅ (ဗိုလ်မင်းရောင်)
Lan Ngar Sae (Bo Ta Htaung)	လမ်း ၅၀ (ဗိုလ်တစ်ထောင်)
Lay-Sae-Chauk Lan (MaHar BanDuLa Road)	၄၆ လမ်း (မဟာဗန္ဓုလလမ်း)
UFL	ယူ အက် (ဖ်) အယ်
Myanmar Plaza (Lan Ni Lay)	မြန်မာပလာဇာ (လမ်းနီလေး)
Moe Swe	မိုးဆွေ
Sae-Lay/Sae-Ngar Lane Sone (Yadana Road)	၁၄/၁၅ လမ်းဆုံ (ရတနာလမ်း)
Sae-Chauk Kwae (Yadana Road)	(၁၆) ကွေ့ (ရတနာလမ်း)
Ah Wine Lay(Yan Kain)	အဝိုင်းလေး (ရန်ကင်း)
Sae-Nhit Lone Tan Kwae(Yan Shin Road)	(၁၂)လုံးတန်းကွေ့ (ရန်ရှင်းလမ်း)
Kok Kei(TatkaTho YeikThar Road)	ကုက္ကိုင်း (တက္ကသိုလ်ရိပ်သာလမ်း)
Yay Sat Kwae(ThanLwin)	ရေစက်ကွေ့ (သံလွင်)
Than Lwin(TatKaTho YeikThar Road)	သံလွင် (တက္ကသိုလ်ရိပ်သာလမ်း)
Yay Khae Sat (Yan Kin)	ရေခဲစက် (ရန်ကင်း)
Bo Chan (Lower MinGaLarDone Road)	ဘိုခြံ (အောက်မင်္ဂလာဒုံလမ်း)
Kyaung Gate(Lower MinGaLarDone Road)	ကျောင်းဂိတ် (အောက်မင်္ဂလာဒုံလမ်း)
Saung 2	စောင် ၂
Tha Yat Taw(InnSein)	သရက်တော (အင်းစိန်)
Bo Kone	ဘိုကုန်း
Hite Patt	ဟိုက်ပတ်
Ma Nya Ka	မ ည က
Inn Sein Sayyone(Mingyi Road)	အင်းစိန်ဆေးရုံ (မင်းကြီးလမ်း)
Inn Sein Panchan(Mingyi Road)	အင်းစိန်ပန်းခြံ (မင်းကြီးလမ်း)
Ngar Lane (North OakkaLar)	(၅)လမ်း (မ/ဥက္ကလာ)
A One (BoTayZa Road)	အေဝမ်း (ဗိုလ်တေဇလမ်း)
TaYar-Nhit Gate Haung (BoTayZa Road)	၁၀၂ ဂိတ်ဟောင်း (ဗိုလ်တေဇလမ်း)
Kyang Lane (WaiBarGi)	ကျောင်းလမ်း (ဝေဘာဂီ)
Chauk Kwae(North OakkaLar)	၆ကွေ့ (မြောက်ဥက္ကလာ)
KanTharYar (North OakkaLar)	ကန်သာယာ (မြောက်ဥက္ကလာ)
Yoke Shin Yone(North OakkaLar)	ရုပ်ရှင်ရုံ (မ/ဥက္ကလာ)
Yadana(North OakkaLar)	ရတနာ (မ/ဥက္ကလာ)
Yone Shae(North OakkaLar)	ရုံးရှေ့ (မ/ဥက္ကလာ)
Say Nhint(Oakar)(North OakkaLar)	ဆေး ၂ (ဥက္ကာ) (မ/ဥက္ကလာ)
Yone Thit (North OakkaLar)	ရုံးသစ် (မ/ဥက္ကလာ)
Shit Mile (Junction Eight)	(၈) မိုင် (ဂျန်းရှင်းအိတ်စ်)
Ye Baw Haung (MaYangKone)	ရဲဘော်ဟောင်း (မရမ်းကုန်း)
Nawaday (HlaingThaYar)	နဝဒေး (လှိုင်သာယာ)
Toe Chae (HlaingThaYar)	တိုးချဲ့ (လှိုင်သာယာ)
Panchan (Yangon-Pathein Road)	ပန်းခြံ (ရန်ကုန်-ပုသိမ်လမ်း)
DaGone Aya Ahway PyayWon	ဒဂုံဧရာအဝေးပြေးဝန်း
BaYintNaung LaneSone(ThaMineBuTar Road)	ဘုရင့်နောင်လမ်းဆုံ (သမိုင်းဘူတာလမ်း)
Sae-Khun Zay	၁၇စျေး
Sae-Nhit Zay	၁၂ စျေး
Say Yone Kwae (Shwe Pout Kan)	ဆေးရုံကွေ့ (ရွှေပေါက်ကံ)
Mee Thet(Shwe Pout Kan)	မီးသတ် (ရွှေပေါက်က္ကံ)
Damaryone (North OakkaLar)	ဓမ္မာရုံ (မ/ဥက္ကလာ)
Say Kyaung (KhaYayPin Road)	ဆေးကျောင်း (ခရေပင်လမ်း)
Panchan (KhaYayPin Road)	ပန်းခြံ (ခရေပင်လမ်း)
Chauk Lay Chauk	၆ ၄ ၆
TaNyinKone BuTarZay	တညင်းကုန်းဘူတာစျေး
Sae-Lay LaneSone (ShwePyithar Tatar Road)	၁၄ လမ်းဆုံ (ရွှေပြည်သာတံတားလမ်း)
Pout Tane AhWine	ပေါက်တန်းအဝိုင်း
Tit-Nit-Lay Gate Haung (ShweLinPan)	၁၂၄ ဂိတ်ဟောင်း (ရွှေလင်ပန်း)
Kyaung Shae(AhNawYaHtar-HlaingtharYar)	ကျောင်းရှေ့ (အနော်ရထာ-လှိုင်သာယာ)
Shit-Sae-Chuk GateHaung	၈၆ ဂိတ်ဟောင်း
Aung Mingalar Zay	အောင်မင်္ဂလာစျေး
Thone ThoneLone(PaThein Road)	သုံး သုံးလုံး (ပုသိမ်လမ်း)
Yay Aine(No 2 Road)	ရေအိုင် (အမှတ်(၂)လမ်း)
140	၁၄၀
Myoh Oo Kyaung	မြို့ဦးကျောင်း
Yone Shae (South Dagon)-PyiDaungSu Road	ရုံးရှေ့ (တောင်ဒဂုံ) - ပြည်ထောင်စုလမ်း
Yuzana Awine Htate (Kyun ShweWar Road - Dagon SateKan) Container Gate (Old Name)	ယုဇန အဝိုင်းထိပ် (ကျွန်းရွှေဝါလမ်း - ဒဂုံဆိပ်ကမ်း) ကွန်တိန်နာဂိတ် (နာမည်ဟောင်း)
Gate Haung (Dhamar Yone) Lal Yar	ဂိတ်ဟောင်း (ဓမ္မာရုံ) လယ်ယာ
West Moke Oo (YuZaNa)	အနောက်မုခ်ဦး (ယုဇန)
Shit/Koe Lan Sone (KaNaungMinTharGyi Road)	၈/၉ လမ်းဆုံ (ကနောင်မင်းသားကြီးလမ်း)
Gate Haung (SiiPin Road)	ဂိတ်ဟောင်း (စည်ပင်လမ်း)
Yin Kyay Mhu	ယဉ်ကျေးမှု
Sule (BanDuLa Pan Chan)	ဆူးလေး (ဗန္ဓုလပန်းခြံ)
Bahan Thone Lan	ဗဟန်း (၃) လမ်း
Tamwe Bali	တာမွေဗလီ
SatGone Kwae	စက်ဂုံကွေ့
Sout Loke Yay (ShuKhinThar MyohPat Road)	ဆောက်လုပ်ရေး (ရှုခင်းသာမြို့ပတ်လမ်း)
Kan Gyi Daut	ကန်ကြီးထောင့်
9 Htet Gyi	၉ ထပ်ကြီး
Insein Pan Chan (Baho Road)	အင်းစိန်ပန်းခြံ (ဗဟိုလမ်း)
(3) Lan Sone (No 3 Main Road)	(၃) လမ်းဆုံ (အမှတ် (၃) လမ်းမကြီး)
Aung Mingalar A Way Pyay (Entrance)	အောင်မင်္ဂလာအဝေးပြေး(ဝင်ပေါက်)
Gate Haung (Yadanar Road)	ဂိတ်ဟောင်း (ရတနာလမ်း)
Hledan Kyaung Shae	လှည်းတန်းကျောင်းရှေ့
SaKhan Shae (KaMarYut) NoutPine Ma Yat Par	စခန်းရှေ့ (ကမာရွတ်) နောက်ပိုင်း မရပ်ပါ
Kannar Zay (KanNar Road)	ကမ်းနားစျေး (ကမ်းနားလမ်း)
Nya Zay (KanNar Road)	ညစျေး (ကမ်းနားလမ်း)
Thal Kwin (KanNar Road)	သဲကွင်း (ကမ်းနားလမ်း)
Home Lan (KanNar Road)	ဟုမ်းလမ်း (ကမ်းနားလမ်း)
Thiri Mingalar Zay Haung	သီရိမင်္ဂလာစျေးဟောင်း
Sin Min Zay (KanNar Road)	ဆင်မင်းစျေး (ကမ်းနားလမ်း)
Ahlone Dan O Sat	အလုံဒန်အိုးစက်
ThitTaw (KanNar Road)	သစ်တော (ကမ်းနားလမ်း)
Thakhin Mya Pan Cha (Lower KyiMyintDaing Road)	သခင်မြပန်းခြံ (အောက်ကြည်မြင်တိုင်လမ်း)
Thakhin Mya Pan Cha (AungYadanar Road)	သခင်မြပန်းခြံ (အောင်ရတနာလမ်း)
Ckhnre (KaMarYut)	စခန်းရှေ့ (ကမာရွတ်)
10 Mile - 2 (DU)	၁၀ မိုင် - ၂ (DU)
Yay Khae Sat	ရေခဲစက်
Mya Yadanar (North OakKaLar)	မြရတနာ (မ/ဥက္ကလာ)
Shwe Yin Aye	ရွှေရင်အေး
Sae-Chauk Kwae	၁၆ ကွေ့
Sae-Khun Zay	၁၇ စျေး
B.R.T Gate Haung	ဘီအာတီ ဂိတ်ဟောင်း
Paya Lay Kwae (Yangon - Pyay Road)	ဘုရားလေးကွေ့ (ရန်ကုန်-ပြည်လမ်း)
Htauk Kyant Lan Sone (Yangon - Pyay)	ထောက်ကြန့်လမ်းဆုံ (ရန်ကုန် - ပြည်)
PokePar Kyaung	ပုပ္ပါးကျောင်း
Lan Thit (Htaut Kyant)	လမ်းသစ် (ထောက်ကြန့်)
Kyaung Shae (Htaut Kyant)	ကျောင်းရှေ့ (ထောက်ကြန့်)
Nwe Khwe (Pyay Road)	နွယ်ခွေ (ပြည်လမ်း)
Chan Pauk (PyinMaPin)	ခြံပေါက် (ပျဉ်းမပင်)
Kone Htate	ကုန်းထိပ်
Paya Lay	ဘုရားလေး
Ye Baw Haung (Mingalardon)	ရဲဘော်ဟောင်း (မင်္ဂလာဒုံ)
Bo Chan (Mingalardon)	ဗိုလ်ခြံ (မင်္ဂလာဒုံ)
Bo Yway	ဗိုလ်ရွေး
Yay Kyi Aine (YBS 41,44,91)	ရေကြည်အိုင် (YBS 41,44,91)
War Yar Lat Kyaung Shae	ဝါယာလက်ကျောင်းရှေ့
KyaikKaLoh	ကျိုက်ကလို့
KyaikKaLae	ကျိုက်ကလဲ့
Indaa	ဣန္ဒာ
Waziyar	ဝဇီရာ
Oak Pone Seik (ThuKhiTar Road)	အုတ်ပုံဆိပ် (သုခိတာလမ်း)
435 Tat	၄၃၅ တပ်
436 Tat	၄၃၆ တပ်
Tat Yin (16)	တပ်ရင်း (၁၆)
Shwe Pauk Kan Sin Phone (YBS 19)	ရွှေပေါက်က္ကံဆင်ဖုံ (YBS 19)
Htun Shwe War	ထွန်းရွှေဝါ
War Saing (Shwe Pauk Kan)	ဝါးဆိုင် (ရွှေပေါက်က္ကံ)
11 Zay	၁၁ စျေး
Aung Mingalar (Shwe Pout Kan)	အောင်မင်္ဂလာ (ရွှေပေါက်ကံ)
Aung Myittar (Shwe Pout Kan)	အောင်မေတ္တာ (ရွှေပေါက်ကံ)
103 Gate Haung (Bagan Road)	၁၀၃ ဂိတ်ဟောင်း (ပုဂံလမ်း)
Bayint Naung Lan Sone (BaYintNaung Road)	ဘုရင့်နောင်လမ်းဆုံ (ဘုရင့်နောင်လမ်း)
Thiri Mingalar Zay Thit	သီရိမင်္ဂလာစျေးသစ်
BuTarYone Lan (Bayint Naung)	ဘူတာရုံလမ်း (ဘုရင့်နောင်)
Yay Kyaung Thate Pan	ရေကြောင်းသိပ္ပံ
Thakhin Mya Pan Chan (KanNar Road)	သခင်မြပန်းခြံ (ကမ်းနားလမ်း)
Kyaung Shae (BarKaYar)	ကျောင်းရှေ့ (ဗားကရာ)
A Nout Shwe Gon Tine	အနောက်ရွှေဂုံတိုင်
Lan 30 (KoneThal Road)	လမ်း၃၀ (ကုန်သည်လမ်း)
Sae-ngar Lan/ Nyaung Pin Lay Zay	၁၅လမ်း / ညောင်ပင်လေးစျေး
Maw Tin (KanNar Road)	မော်တင် (ကမ်းနားလမ်း)
Kili (KanNar Road)	ကလီ (ကမ်းနားလမ်း)
Baho Sii	ဗဟိုစည်
Tha Yat Taw (BoGyoke Road)	သရက်တော (ဗိုလ်ချုပ်လမ်း)
West Yangon University	ရန်ကုန်အနောက်ပိုင်းတက္ကသိုလ်
Ah Saung Shae (WYU)	အဆောင်ရှေ့ (WYU)
Tha Yat Chan	သရက်ခြံ
Date Kone	ဒိတ်ကုန်း
Pout Tan	ပေါက်တန်း
DaNyinKone Lan Sone (Lower MinGaLarDone Road)	ဒညင်းကုန်းလမ်းဆုံ (အောက်မင်္ဂလာဒုံလမ်း)
Thamine Lan Sone (Insein Road)	သမိုင်းလမ်းဆုံ (အင်းစိန်လမ်း)
Bartar	ဘာဒါ
Thukha (Insein)	သုခ (အင်းစိန်)
BuTarYone Lan (Insein)	ဘူတာရုံလမ်း (အင်းစိန်)
Hledan (Insein)	လှည်းတန်း (အင်းစိန်)
Saik Pyoe Yay (KaMarYut)	စိုက်ပျိုးရေး (ကမာရွတ်)
HanTharWaddy Awine	ဟံသာဝတီအဝိုင်း
Halpin	ဟယ် (လ်)ပင်
Sein Gyun	စိန့်ဂျွန်း
Say Yone Gyi (Ah Yay Paw)	ဆေးရုံကြီး (အရေးပေါ်)
BoShwal Lan (Maung Khaing)	ဗိုလ်ရွဲလမ်း (မောင်ခိုင်)
124 (ANawYaHtar Road)	၁၂၄ (အနော်ရထာလမ်း)
Gate Haung (AhNawYaHtar - HlaingTharYar)	ဂိတ်ဟောင်း (အနော်ရထာ - လှိုင်သာယာ)
(3) Htate (HlaingTharYar)	(၃) ထိပ် (လှိုင်သာယာ)
Kyaung Shae (RC3)	ကျောင်းရှေ့ (RC3)
Home Lan (Lower KyiMyintDaing Road)	ဟုမ်းလမ်း (အောက်ကြည့်မြင်တိုင်လမ်း)
White Taw (Lower KyiMyintDaing)	ဝှိုက်တော (အောက်ကြည့်မြင်တိုင်)
Sin Min Zay (Lower KyiMyintDaing Road)	ဆင်မင်းစျေး (အောက်ကြည့်မြင်တိုင်လမ်း)
ChaMarBi (Lower KyiMyintDaing Road)	ချမာဘီ (အောက်ကြည့်မြင်တိုင်လမ်း)
ChaMarKhaNar	ဂျမာခနာ
Thakhin Mya Pan Chan (Lower KyiMyintDaing Road)	သခင်မြပန်းခြံ (အောက်ကြည့်မြင်တိုင်လမ်း)
Ywar Pout (WYTU)	ရွာပေါက် (WYTU)
Mya Sein Yaung	မြစိမ်းရောင်
Tat Yin (9) (HlaingTharYar)	တပ်ရင်း (၉) (လှိုင်သာယာ)
TaungNgu	တောင်ငူ
Mawlamyine	မော်လမြိုင်
Gate Haung (North Dagon)	ဂိတ်ဟောင်း (မ/ဒဂုံ)
Bo Min Yaung	ဗိုလ်မင်းရောင်
Sow Myat	စိုးမြတ်
Bo Saw Naung	ဗိုလ်စောနောင်
Ma Wa Ta Sone (PyiDaungSu Road)	မဝတလမ်းဆုံ (ပြည်ထောင်စုလမ်း)
Hnit-sae Shit Ta Dar Htate	၂၈ တံတားထိပ်
Taung Myout Lan Sone (MyohOo Pagoda)	တောင်မြောက်လမ်းဆုံ (မြို့ဦးစေတီ)
Pathein Nhyunt 6 Lan	ပုသိမ်ညွန့် ၆ လမ်း
A.B.C (MingalarTaungNhyunt)	အေဘီစီ (မင်္ဂလာတောင်ညွန့်)
Yone Lay (MingalarTaungNhyunt)	ရုံးလေး (မင်္ဂလာတောင်ညွန့်)
9 Lan	၉ လမ်း
Zay Lan (MinYeKyawSwar Road)	စျေးလမ်း (မင်းရဲကျော်စွာလမ်း)
Gate Haung (MinYeKyawSwar Road)	ဂိတ်ဟောင်း (မင်းရဲကျော်စွာလမ်း)
Shit Tama (MinYeKyawSwar Road)	၈ သမ (မင်းရဲကျော်စွာလမ်း)
Kone Taik (MinYeKyawSwar Road)	ကုန်တိုက် (မင်းရဲကျော်စွာလမ်း)
Thit Sat	သစ်စက်
Kyaung Shae (Dental University)	ကျောင်းရှေ့ (သွားဆေးတက္ကသိုလ်)
Thuwunna Zay (ThanThuMar)	သုဝဏ္ဏစျေး (သံသုမာ)
Thuwunna Lan Sone (ThanThuMar)	သုဝဏ္ဏလမ်းဆုံ (သံသုမာ)
13 Zay (YamoneNar Zay)	၁၃ စျေး (ယမုံနာစျေး)
Say Yone Shae (Myittar Lan)	ဆေးရုံရှေ့ (မေတ္တာလမ်း)
10 Yat Kwet Zay (South OakKaLar)	၁၀ ရပ်ကွက်စျေး (တောင်ဥက္ကလာ)
PaDayThar Lan Sone (Myittar Lan)	ပဒေသာလမ်းဆုံ (မေတ္တာလမ်း)
SisPin Paya Lan	စစ်ပင်ဘုရားလမ်း
Shin Ma Taung	ရှင်မတောင်
Ye Sa Khan (East Dagon)	ရဲစခန်း (ရှေ့ဒဂုံ)
36 Gate Haung	၃၆ ဂိတ်ဟောင်း
KyawKyarr	ကျော်ကြား
Yat Kwet Htate	ရပ်ကွက်ထိပ်
Ma Ya Ka	မ ရ က
Sii Pin Yone	စည်ပင်ရုံး
Insein Say Yone (East Dagon)	အင်းစိန်ဆေးရုံ (ရှေ့ဒဂုံ)
Htan Ta Pin	ထန်းတစ်ပင်
Lan Thit (Min Ye Kyaw Swar)	လမ်းသစ် (မင်းရဲကျော်စွာ)
Meter Yone	မီတာရုံး
37 Gate Haung	၃၇ ဂိတ်ဟောင်း
KuuToh Sate	ကူးတို့ဆိပ်
ZawGyi	ဇော်ဂျီ
SiteShae (MaHarMyaing)	ဆိုက်ရှေ့ (မဟာမြိုင်)
6 Lan (OoWiZaRa Road)	၆ လမ်း (ဦးဝီဇရလမ်း)
Nar Yee Sin (MaHarMyaing)	နာရီစင် (မဟာမြိုင်)
Koke Kine (KaBarAye PaYar Road)	ကုက္ကိုင်း (ကမ္ဘာအေးဘုရားလမ်း)
Shwe Pout Kan Tadar Htate	ရွှေပေါက်ကံတံတားထိပ်
YaZaThinGyan Lan Htate	ရာဇသင်္ကြန်လမ်းထိပ်
8 Thama (MinYeKyawSwar Road)	၈သမ (မင်းရဲကျော်စွာလမ်း)
Gate Haung (Thitsar Lan)	ဂိတ်ဟောင်း (သစ္စာလမ်း)
MyohShaung Lan	မြို့ရှောင်လမ်း
Zay Thit (Bago Road)	စျေးသစ် (ပဲခူးလမ်း)
Htauk Kyant Lan Sone (Yangon - Mandalay)	ထောက်ကြန့်လမ်းဆုံ (ရန်ကုန်-မန္တလေး)
KyaungShae (A Mhat 3 SatThwel Lan)	ကျောင်းရှေ့ (အမှတ်(၃) ဆက်သွယ်လမ်း)
Nwe Khwe (No 3 Main Road)	နွယ်ခွေ (အမှတ်(၃)လမ်းမကြီး)
War Saing (Nwe Khwe)	ဝါးဆိုင် (နွယ်ခွေ)
KokeKoPin (Ma Yat Par)	ကုက္ကိုပင် (မရပ်ပါ)
Tiger Beer Sat Yon	တိုက်ဂါးဘီယာစက်ရုံ
Tat Yin (9) (No 3 Main Road)	တပ်ရင်း (၉) (အမှတ် (၃) လမ်းမကြီး)
Kone Ta La Baung	ကုန်းတလဘောင်
PipeLone (No 3 Main Road) Ma Yat Par	ပိုက်လုံး (အမှတ် (၃) လမ်းမကြီး) မရပ်ပါ
Gate Haung (No 3 Main Road)	ဂိတ်ဟောင်း (အမှတ် (၃) လမ်းမကြီး)
PadaMyar Sine Board	ပတ္တမြားဆိုင်းဘုတ်
Kyaung Shae (No 3 Main Road)	ကျောင်းရှေ့ (အမှတ် (၃) လမ်းမကြီး)
Mhaw Yone	မှော်ရုံ
Palae Lan Sone (Mingalardon)	ပုလဲလမ်းဆုံ (မင်္ဂလာဒုံ)
(6) Lan (No 3 Road) (Ma Yat Par)	(၆) လမ်း (အမှတ်(၃)လမ်း) မရပ်ပါ
Thingangyun Gyi	သင်္ဃန်းကျွန်းကြီး
Nyaung Pin (No 3 Main Road)	ညောင်ပင် (အမှတ် (၃) လမ်းမကြီး)
Thuwanna Stadium	သုဝဏ္ဏဘောလုံးကွင်း
Aung Thukha (Mee Point)	အောင်သုခ (မီးပွိုင့်)
Drkaa Lan Sone	ဒါရ်ကာလမ်းဆုံ
Myoma Lan	မြို့မလမ်း
Myoma Zay (Thanlyin)	မြို့မစျေး (သန်လျင်)
Phoh Myay	ဖို့မြေ
Bago Su	ပဲခူးစု
Say Yone Oaut Kwae	ဆေးရုံအောက်ကွေ့
Say Yone A Paw Kwae	ဆေးရုံအပေါ်ကွေ့
Say Yon Kwae (Thanlyin)	ဆေးရုံကွေ့ (သန်လျင်)
ThaMa University	သမတက္ကသိုလ်
Kyeik Kouk Phayar (ThiLaWar Road)	ကျိုက်ခေါက်ဘုရား (သီလဝါလမ်း)
A Saung Shae (MMU)	အဆောင်ရှေ့ (MMU)
Pal Hlaw Pho (KyaukTan)	ပဲလှော်ဖို (ကျောက်တန်း)
Thein Kone	သိမ်ကုန်း
Motor Seik	မော်တော်ဆိပ်
Saik Pyoe Yay (Thanlyin)	စိုက်ပျိုးရေး (သန်လျင်)
Ta Man Oo Gone Htate	တမံဦးကုန်းထိပ်
PhoneGyiKyaungShae (KyaukTan)	ဘုန်းကြီးကျောင်းရှေ့ (ကျောက်တန်း)
Pal Hlaw Pho (Alal Ywar)	ပဲလှော်ဖို (အလယ်ရွာ)
Gate Haung (KyaukTan)	ဂိတ်ဟောင်း (ကျောက်တန်း)
Gate Thit	ဂိတ်သစ်
Aung Ta Pyay (KyaukTan)	အောင်သပြေ (ကျောက်တန်း)
T U (Thanlyin)	T U (သန်လျင်)
Ah Saung Shae (Thanlyin)	အဆောင်ရှေ့ (သန်လျင်)
Paya Lay (Thanlyin)	ဘုရားလေး (သန်လျင်)
Hta Ma Lone Gone Htate	ထမလုံကုန်းထိပ်
Paya Ngar Suu	ဘုရား (၅)ဆူ
SawBwar Gone Htate	စော်ဘွားကုန်းထိပ်
Sit See Taw	စစ်စီးတော
Nar Yee Sin (Thanlyin)	နာရီစင် (သန်လျင်)
Nant Thar Kone	နံ့သာကုန်း
Ah Nyar Su	အညာစု
Mingalar Zay (SatYone Road)	မင်္ဂလာစျေး (စက်ရုံလမ်း)
A Loke Tha Mar Say Yone	အလုပ်သမားဆေးရုံ
KhaYan Kar Gate	ခရမ်းကားဂိတ်
Nar Yee Sin (KhaYan)	နာရီစင် (ခရမ်း)
Kyo So Yay (KhaYan)	ကြိုဆိုရေး (ခရမ်း)
Kun Moe Dane	ကွမ်းမိုးဒိုန်း
Phoe Nii Lan	ဖိုးနီလမ်း
Day Pauk	ဒေးပေါက်
A Pyo Gyi Tal Su	အပျိုကြီးတဲစု
LatPanTan Paya	လက်ပံတန်းဘုရား
Bagan Taung	ပုဂံတောင်
Pa Dote Gyi	ပဒုတ်ကြီး
Kyaung Su Pa Dote	ကျောင်းစုပဒုတ်
Tha Gyi Pa Dote	သူကြီးပဒုတ်
U Kyar Mhine	ဦးကြာမှိုင်
Mudithar	မုဒိသာ
Lat Pan Kyo	လက်ပန်ကြို
Zwe Thaw Tar Htate	ဇွဲသော်တာထိပ်
Thakhwar Chan	သခွားခြံ
Phayone Lan Khwe	ဖရုံလမ်းခွဲ
ThaKaw Lan Htate	သကောလမ်းထိပ်
Kyo So Yay (Thone Gwa)	ကြိုဆိုရေး (သုံးဂွ)
U Oate Ta Ma	ဦးဥတ္တမ
U Than Chaung	ဦးသံချောင်း
TawKar Gate	တောကားဂိတ်
Koe Lan Sone	(၉) လမ်းဆုံ
LinMaHar	လင်းမဟာ
Mhan Yone	မှန်ရုံ
Khun Htate	(၇)ထိပ်
Mi Thar Su	မိသားစု
ShweEainSi	ရွှေအိမ်စည်
Paya Lay (No 6 Road)	ဘုရားလေး (အမှတ်(၆)လမ်း)
U Tin Hla	ဦးတင်လှ
Nhit Htet Kwae	(၂) ထပ်ကွေ့
Nyaung Ni Tadar Htate	ညောင်နီတံတားထိပ်
Tite Kue Kan	တိုက်ကူးကန်
Pwint Ku	ပွင့်ကူ
ManDarLi Chan	မန်ဒါလီခြံ
TaDar Pyar	တံတားပြာ
Thaung Boh Kan Thal Lan	သောင်ဘို့ကန်သဲလမ်း
Oo Yin Tar Htate	ဥယျာဉ်တာထိပ်
Pyin Ma Kan Thar Htate	ပျဉ်းမကန်သာထိပ်
KanMyint Phone Gyi Kyaung Lan	ကံမြင့်ဘုန်းကြီးကျောင်းလမ်း
KokeKo Nha Pin	ကုက္ကိုလ် ၂ ပင်
Shwe Own Pin	ရွှေအုန်းပင်
Shwe Nyi Ko	ရွှေညီကို
Chin Ma	ချင်းမ
Yat Htar Lan Oak Pauk	ရထားလမ်း Oak Pauk
Nyaung Pin Lay Zay (No 6 Road)	ညောင်ပင်လေးစျေး (အမှတ် (၆) လမ်း)
Motor Seik Oak Pauk	မော်တော်ဆိပ်အုတ်ပေါက်
Chaung Thit	ချောင်းသစ်
NayLaPout (No 6 Road)	နေလပေါက် (အမှတ်(၆)လမ်း)
Chauk Lan Thwar	၆လမ်းသွား
East Yangon University	အရှေ့ပိုင်းရန်ကုန်တက္ကသိုလ်
Nyaung Pin (No 6 Road)	ညောင်ပင် (အမှတ် (၆) လမ်း)
Thone Gate Haung (MyinTawThar)	(၃) ဂိတ်ဟောင်း (မြင်တော်သာ)
YanPyay (YaMoneNar Road)	ရန်ပြေ (ယမုံနာလမ်း)
TheinPhyu (YBS 34)	သိမ်ဖြူ(YBS 34)
Htauk Kyant (YBS 35)	ထောက်ကြန့် (YBS 35)
Kyout Khwel Sat	ကျောက်ခွဲစက်
Khun-hnat Mile	(၇)မိုင်
Chauk Mile Khawe	၆မိုင်ခွဲ
Marlar (Hledan)	မာလာ (လှည်းတန်း)
Tit Nan Pat	တစ်နံပါတ်
Halpin	ဟယ်လ်ပင်
Chauk Htet Yone	၆ ထပ်ရုံး
Sae-Nhit Lone Tan Kwae(Yan Shin Road)	(၁၂) လုံးတန်းကွေ့ (ရန်ရှင်းလမ်း)
War Ta Yar	ဝါးတစ်ရာ
Lay Hlwar	လေးလွှာ
Shin Lin Saung	ရှင်းလင်းဆောင်
Chauk-sae-ngar Gate	၆၅ဂိတ်
Lain Kone	လိန်ကုန်း
Kwat Thit	ကွက်သစ်
Da Dwe	ဒဒွေး
HlawKar Lower Gate	လှော်ကားအောက်ဂိတ်
Thukha (HlawKar)	သုခ (လှော်ကား)
Paya Lay (HlawKar)	ဘုရားလေး (လှော်ကား)
